fca945f	0.714	0.047720	{"k_adapt": 3.420348374343422, "k_bind2": 0.029999999999999995, "k_mix": 0.012539420101978447, "k_trans": 17.942300952014502, "k_rel": 0.06809166894258077, "k_gain": 1.411309772813547, "k_fb": 0.36017515871682365, "k_ho": 3.3216879146441793, "k_hd": 0.002028181525970509, "b0": 1.416141949434849, "k_bd": 0.5874002176933347, "T_end": 21.83773500080999}
7487f72	0.714	0.019531	{"k_on": 0.19173825138388628, "k_off": 0.019339600706533403, "wn": 0.6919907115487047, "zeta": 0.4661526468394659, "K": 1.1001059456354956, "b0": 47.93396942397078, "k_bd": 0.4708851969833157, "T_end": 18.0}
2bf9e3f	0.714	0.016877	{"k_on": 0.1, "k_off": 0.010007519226897625, "wn": 0.7140309415902454, "zeta": 0.45113942511632155, "K": 1.253489929902325, "b0": 72.24070693992526, "k_bd": 0.4724722034227295, "T_end": 18.0}
9df9f39	0.714	0.015940	{"k_on": 0.052141931472055335, "k_off": 0.004999999999999999, "wn": 0.7366100099114291, "zeta": 0.44271665481121836, "K": 1.703014691517499, "b0": 97.60364082116811, "k_bd": 0.48067003809184145, "T_end": 20.83050350468635}
3ecc378	0.714	0.015385	{"k_on": 0.03287964373376509, "k_off": 0.006292685534746058, "wn": 0.729484744845475, "zeta": 0.44232893500791975, "K": 2.4094663262601097, "b0": 110.37451005570925, "k_bd": 0.48393816999376676, "k_drag": 0.001737761397279064, "T_end": 18.0}
8db6679	0.714	0.015603	{"k_on": 0.046936615585480165, "k_off": 0.003000000000000001, "wn": 0.7400582509946939, "zeta": 0.4413399908582337, "K": 1.8583450553102037, "b0": 100.80696168186181, "k_bd": 0.48605341659832746, "k_drag": 0.0018436729792206008, "T_end": 19.33310123662574}
1011a26	0.714	0.013993	{"k_on": 0.033545362076198376, "k_off": 0.003762055731057832, "wn": 0.7419683651457636, "zeta": 0.4109813914299328, "K": 2.2628630197269177, "b0": 103.56011544798668, "k_bd": 0.46356214573752075, "T_end": 20.480188357827693}
48f0d8c	0.714	0.013739	{"k_on": 0.03149419893831277, "k_off": 0.01138115728383939, "wn": 0.7361020018197303, "zeta": 0.4247003778671473, "K": 2.4699229295197846, "b0": 105.22674057110966, "k_bd": 0.4664249279512687, "k_nl": 0.001147691209321056, "T_end": 20.755914338394557}
1314645	0.571	0.021701	{"k_on": 0.029999999999999995, "k_off": 0.004999999999999999, "wn": 0.7195779649379043, "zeta": 0.40112166011368977, "K": 2.3, "b0": 100.0, "k_bd": 0.43673027416003934, "T_end": 21.18297971239902}
d431871	0.714	0.015596	{"k_on": 0.08694027542170651, "k_off": 0.005321371876226883, "wn": 0.6971709005609328, "zeta": 0.49690760852496174, "K": 1.7455650544555092, "b0": 59.745566859050825, "k_bd": 0.4217926279688754, "k_inh": 0.035106243256675065, "T_end": 18.0}
3cf947e	0.429	0.026920	{"k_on": 0.033539265992629325, "k_off": 0.01890263504228375, "k_inh": 0.054556724356144025, "wn": 0.6892462524898968, "zeta": 0.5623867457443065, "K": 4.462959672564821, "b0": 63.97102670040241, "k_bd": 0.42495637129958364, "k_ho": 0.01604668101913331, "k_hd": 0.06844701997690011, "k_ha": 0.14018958466219772, "T_end": 18.55590674391283}
4f90b37	1.000	0.002166	{"k_on": 0.1213315493874326, "k_off": 0.004427463509482138, "tau_d": 1.9995231807116223, "wn": 0.8067659789113562, "zeta": 0.45952227874633333, "K": 1.1944534444608468, "b0": 188.34112029129207, "k_bd": 0.5694114637175217, "T_end": 20.869754241981422}
